zona,tier,p,q,lat,lon,HE,FN_buruk
573-A,1,80,0.25,-9.0,117.5,0.5245238882864816,0.0
573-A,1,80,0.25,-9.0,118.0,0.5215270267885727,0.022727272727272728
573-A,1,80,0.25,-9.0,118.5,0.5268178229595972,0.024390243902439025
573-A,1,80,0.25,-9.0,119.0,0.47209728214167623,0.046511627906976744
573-A,1,81,0.25,-7.0,106.0,0.35343592092432274,0.11363636363636363
573-A,1,81,0.25,-7.5,106.0,0.409183630640084,0.08695652173913043
573-A,1,81,0.25,-7.5,106.5,0.576928102525506,0.044444444444444446
573-A,1,81,0.25,-7.5,107.0,0.6464765641398997,0.0
573-A,1,81,0.25,-7.5,107.5,0.5809483905634307,0.0
573-A,1,81,0.25,-8.0,107.5,0.6756916710195795,0.02127659574468085
573-A,1,81,0.25,-8.0,108.0,0.7185820015607787,0.0
573-A,1,81,0.25,-8.0,108.5,0.7257443439307724,0.0
573-A,1,81,0.25,-8.0,109.0,0.763223273768129,0.0
573-A,1,81,0.25,-8.0,109.5,0.773877450053791,0.0
573-A,1,81,0.25,-8.5,109.5,0.736257089579679,0.022222222222222223
573-A,1,81,0.25,-8.5,110.0,0.7470340800530307,0.045454545454545456
573-A,1,81,0.25,-8.5,110.5,0.7788666414573092,0.022222222222222223
573-A,1,81,0.25,-8.5,111.0,0.787668936460605,0.0
573-A,1,81,0.25,-8.5,111.5,0.785614446450363,0.0
573-A,1,81,0.25,-8.5,112.0,0.8133850390880686,0.0
573-A,1,81,0.25,-8.5,112.5,0.7763080143604927,0.0
573-A,1,81,0.25,-8.5,113.0,0.7100466246713952,0.02127659574468085
573-A,1,81,0.25,-8.5,113.5,0.6821381875829398,0.022727272727272728
573-A,1,81,0.25,-8.5,114.0,0.6645819116502638,0.022727272727272728
573-A,1,81,0.25,-8.5,114.5,0.7064237751249289,0.022222222222222223
573-A,1,81,0.25,-8.5,115.5,0.6975532945736435,0.0
573-A,1,81,0.25,-9.0,114.5,0.721415760297523,0.0
573-A,1,81,0.25,-9.0,115.0,0.7252606914257578,0.022727272727272728
573-A,1,81,0.25,-9.0,115.5,0.7012852658630699,0.0
573-A,1,81,0.25,-9.0,117.0,0.5290994311558581,0.023255813953488372
573-A,1,81,0.25,-9.0,117.5,0.5473601963289914,0.0
